Churn,Children,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Age,Outage_sec_perweek,Email,Gender_Male,Gender_Nonbinary,Contract_One year,Contract_Two Year,InternetService_Fiber Optic,InternetService_None
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.7042253521126761,0.37325985218627955,0.4090909090909091,1.0,0.0,1.0,0.0,1.0,0.0
1.0,0.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1267605633802817,0.5495365120998941,0.49999999999999994,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.4,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45070422535211274,0.5047050522185756,0.36363636363636365,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4225352112676056,0.7018265824442641,0.6363636363636365,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9154929577464789,0.3812709251085856,0.6818181818181819,1.0,0.0,0.0,0.0,1.0,0.0
0.0,0.30000000000000004,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9154929577464789,0.3942320329878308,0.6363636363636365,0.0,0.0,1.0,0.0,0.0,1.0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8591549295774649,0.5250733855143029,0.4090909090909091,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16901408450704225,0.36441508933751576,0.6818181818181819,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.43661971830985913,0.2671687078449798,0.8636363636363638,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.9577464788732394,0.40782110020084983,0.7727272727272728,0.0,0.0,0.0,1.0,1.0,0.0
0.0,0.7000000000000001,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.07042253521126762,0.4378487344383542,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5352112676056339,0.311788924396749,0.7272727272727273,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9154929577464789,0.3872621140457284,0.36363636363636365,1.0,0.0,0.0,0.0,1.0,0.0
0.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.15492957746478875,0.27387531874679144,0.5909090909090909,0.0,0.0,0.0,1.0,1.0,0.0
1.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.16901408450704225,0.553878614364739,0.4090909090909091,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.30000000000000004,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.295774647887324,0.5068687137915913,0.5454545454545455,1.0,0.0,1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6338028169014085,0.635940354984229,0.5454545454545455,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5915492957746479,0.46104122065797837,0.6818181818181819,1.0,0.0,0.0,1.0,0.0,1.0
0.0,0.30000000000000004,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6056338028169014,0.4488909792354939,0.45454545454545453,0.0,0.0,0.0,1.0,0.0,1.0
1.0,0.30000000000000004,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07042253521126762,0.512742993053005,0.4090909090909091,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.4,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.2816901408450705,0.5670569487596689,0.5909090909090909,1.0,0.0,0.0,0.0,1.0,0.0
0.0,0.30000000000000004,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.16901408450704225,0.32619109708289395,0.7727272727272728,1.0,0.0,0.0,1.0,1.0,0.0
0.0,0.30000000000000004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.47887323943661975,0.4393337011163282,0.6818181818181819,1.0,0.0,0.0,0.0,1.0,0.0
0.0,0.2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.7042253521126761,0.33207444166012284,0.36363636363636365,1.0,0.0,1.0,0.0,1.0,0.0
1.0,0.30000000000000004,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.8028169014084506,0.6465968761507086,0.6363636363636365,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8309859154929579,0.4580328728213605,0.49999999999999994,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.4084507042253521,0.7467902504146318,0.6363636363636365,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.7323943661971831,0.6934232503418151,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.30000000000000004,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.02816901408450706,0.6318059482550166,0.5454545454545455,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.4,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7183098591549296,0.4983049949679789,0.7727272727272728,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.3802816901408451,0.30857889817962975,0.5909090909090909,1.0,0.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.3098591549295775,0.20610817000935214,0.5454545454545455,0.0,0.0,0.0,1.0,0.0,1.0
1.0,0.6000000000000001,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9014084507042254,0.41098693427069366,0.36363636363636365,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7887323943661971,0.5226497275227471,0.3181818181818182,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.7183098591549296,0.2577778663393133,0.6363636363636365,1.0,0.0,1.0,0.0,1.0,0.0
1.0,0.1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.47887323943661975,0.6492427354339424,0.45454545454545453,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.2,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.11267605633802819,0.7679941707839039,0.6818181818181819,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.09859154929577468,0.4428438171632956,0.36363636363636365,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.676056338028169,0.7931434298637784,0.49999999999999994,0.0,0.0,0.0,1.0,1.0,0.0
0.0,0.1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7605633802816901,0.3730046952836451,0.4090909090909091,1.0,0.0,0.0,1.0,1.0,0.0
0.0,0.30000000000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.04225352112676056,0.5367442014661505,0.49999999999999994,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.30000000000000004,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5211267605633803,0.37719438160240787,0.6818181818181819,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.323943661971831,0.5897462025488889,0.45454545454545453,1.0,0.0,0.0,1.0,1.0,0.0
0.0,0.4,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.1971830985915493,0.3863946349650654,0.5454545454545455,1.0,0.0,0.0,1.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.05633802816901412,0.6185847465983942,0.22727272727272724,0.0,0.0,0.0,1.0,1.0,0.0
1.0,0.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.3661971830985916,0.4966840466103399,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.2,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.07042253521126762,0.5875689112124769,0.45454545454545453,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.30000000000000004,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.352112676056338,0.4571976646655663,0.45454545454545453,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9577464788732394,0.36806443899142943,0.45454545454545453,0.0,0.0,0.0,1.0,0.0,1.0
0.0,0.2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9295774647887324,0.5844318962585016,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.619718309859155,0.4196341155798611,0.5454545454545455,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7042253521126761,0.3749985135840256,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5774647887323944,0.1947461358758518,0.3181818181818182,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1830985915492958,0.5230305464947272,0.22727272727272724,0.0,0.0,1.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.46478873239436624,0.4234347408733631,0.45454545454545453,1.0,0.0,0.0,0.0,1.0,0.0
0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5633802816901409,0.51243442333953,0.45454545454545453,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7746478873239436,0.3926511338391665,0.45454545454545453,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.2112676056338028,0.5376768242684071,0.45454545454545453,0.0,0.0,0.0,1.0,0.0,1.0
1.0,0.1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5633802816901409,0.4794692986952467,0.6363636363636365,1.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43661971830985913,0.3944435809013034,0.36363636363636365,0.0,0.0,0.0,1.0,1.0,0.0
0.0,0.1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.11267605633802819,0.39258748451649833,0.49999999999999994,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.09859154929577468,0.44847494720670883,0.4090909090909091,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3380281690140845,0.5066332565375987,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8873239436619719,0.2834174074661084,0.6363636363636365,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.352112676056338,0.63725781476477,0.5454545454545455,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.2,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.6338028169014085,0.44395027367133183,0.5909090909090909,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.30000000000000004,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7323943661971831,0.28877147273664566,0.45454545454545453,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8450704225352114,0.5071277138810125,0.8181818181818182,1.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4225352112676056,0.36973699350205713,0.7272727272727273,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.6338028169014085,0.5294184038065977,0.7727272727272728,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.4,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5915492957746479,0.2856694164747088,0.49999999999999994,0.0,0.0,1.0,0.0,0.0,1.0
1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.9718309859154929,0.37283132951617776,0.7272727272727273,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.30000000000000004,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5070422535211268,0.20222086829901736,0.36363636363636365,0.0,0.0,0.0,1.0,1.0,0.0
1.0,0.30000000000000004,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.23943661971830987,0.2917737486982022,0.36363636363636365,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.7323943661971831,0.6075232126705304,0.6818181818181819,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6901408450704226,0.5843077431326859,0.5454545454545455,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3943661971830986,0.3556992843560761,0.45454545454545453,0.0,0.0,0.0,1.0,0.0,1.0
0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.45070422535211274,0.3478880953321964,0.4090909090909091,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08450704225352113,0.6132681003795627,0.7727272727272728,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.02816901408450706,0.7010724413676256,0.7272727272727273,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.15492957746478875,0.648780708295402,0.5454545454545455,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1830985915492958,0.737365461611793,0.22727272727272724,1.0,0.0,0.0,0.0,1.0,0.0
0.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.7605633802816901,0.39861045213602087,0.5454545454545455,0.0,0.0,0.0,1.0,1.0,0.0
0.0,0.4,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.7464788732394366,0.3868417220466077,0.4090909090909091,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1971830985915493,0.40283856373731,0.45454545454545453,0.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2112676056338028,0.28142547328426,0.6363636363636365,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.30000000000000004,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.6901408450704226,0.6871655857200057,0.49999999999999994,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.676056338028169,0.3398917847574006,0.5454545454545455,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.04225352112676056,0.41758421854206623,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6056338028169014,0.5445174091732754,0.5454545454545455,0.0,0.0,1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8028169014084506,0.3882243616023066,0.5454545454545455,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.6338028169014085,0.7152389120524538,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.7042253521126761,0.23613658908699844,0.0909090909090909,0.0,0.0,0.0,1.0,1.0,0.0
1.0,0.2,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.1971830985915493,0.32419650611814826,0.2727272727272727,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.8169014084507044,0.46117604848145266,0.2727272727272727,1.0,0.0,0.0,1.0,0.0,0.0
