Tenure,Children,Age,Outage_sec_perweek,OnlineSecurity,MonthlyCharge,Bandwidth_GB_Year,Contract_One year,Contract_Two Year,InternetService_Fiber Optic,InternetService_None
6.795512947,0,68,7.978322947,1,172.455519,904.5361102,1,0,1,0
1.156680997,1,27,11.69907956,1,242.632554,800.9827661,0,0,1,0
15.75414408,4,50,10.75280028,0,159.947583,2054.706961,0,1,0,0
17.08722662,1,48,14.91353964,1,119.95684,2164.579412,0,1,0,0
1.670971726,0,83,8.147416533,0,149.948316,271.4934362,0,0,1,0
7.000993555,3,83,8.420992898,1,185.007692,1039.357983,1,0,0,1
13.23677381,0,79,11.18272453,0,200.118516,1907.242972,0,0,0,0
4.26425515,2,30,7.791632265,0,114.950905,979.6127078,0,0,0,0
8.220686373,2,49,5.739005915,1,117.468591,1312.874964,0,0,0,0
3.422086139,1,86,8.707823904,1,162.482694,508.7637913,0,1,1,0
19.26726194,7,23,9.341631685,1,174.958118,2728.767869,0,0,0,0
10.52199781,2,56,6.68082638,0,149.962093,1180.588788,0,0,1,0
13.01149229,0,83,8.273875452,0,137.439154,1196.388018,0,0,1,0
16.87922024,5,29,5.880565591,1,184.971516,1948.694497,0,1,1,0
10.06019902,1,30,11.79073041,0,159.965581,1582.295235,0,0,0,0
13.87001293,3,39,10.79846973,1,177.65076,1840.014467,1,0,0,1
15.78214958,0,63,13.52284721,0,194.966286,2070.376729,0,0,0,0
2.303331273,2,60,9.831166695,1,202.682861,882.0985933,0,1,0,1
17.10995632,3,61,9.57470568,0,152.490739,1833.0967,0,1,0,1
12.80615845,3,23,10.92246098,0,149.944668,1954.080809,0,0,0,0
20.45390977,4,38,12.06889188,1,184.978458,2330.319383,0,0,1,0
2.415991977,3,30,6.984819996,1,127.495766,594.1054279,0,1,1,0
6.652298992,3,52,9.372975594,0,124.964303,713.0633088,0,0,1,0
8.543717478,2,68,7.109002592,0,149.948316,945.3802928,1,0,1,0
5.770390256,3,75,13.74777955,1,162.511928,870.76398,0,0,0,1
4.157658837,1,77,9.767668044,0,92.455141,774.2937069,0,0,0,0
10.40566091,1,47,15.8626095,1,222.649979,1506.446527,0,0,1,0
1.392421597,0,70,14.73616645,0,139.981577,419.0508708,0,0,0,1
1.430386349,3,20,13.43558029,0,200.132293,1259.415493,1,0,0,0
5.425864884,4,69,10.61771118,1,257.651257,1745.125956,0,1,0,0
11.08287797,9,45,6.613070806,0,230.105118,1795.465729,0,1,1,0
3.586184954,0,40,4.450171647,0,147.489301,492.4771472,0,1,0,1
4.727388465,6,82,8.774646693,0,230.105118,1013.993166,0,0,1,0
20.89923386,5,74,11.13156721,1,174.958118,2680.762173,0,0,0,0
3.471329958,4,69,5.540788887,1,267.664655,1081.814362,1,0,1,0
5.478588204,1,52,13.80362698,1,162.483267,1209.961168,0,0,0,0
3.312991809,2,26,16.31017089,1,229.993134,897.5919144,0,0,1,0
7.161561527,1,25,9.447065309,1,140.00128,1340.930156,1,0,0,0
9.847563364,1,66,16.84100845,1,184.964681,1113.993679,0,1,1,0
