Children,Age,Outage_sec_perweek,OnlineSecurity,MonthlyCharge,Bandwidth_GB_Year,Contract_One year,Contract_Two Year,InternetService_Fiber Optic,InternetService_None
0,43,5.566881,0,117.472,542.7248776,0,0,0,1
0,40,9.708299,0,262.6106,5725.876807,0,0,1,0
4,72,15.8001,0,174.9768,1965.462483,0,0,0,0
4,35,7.449366,1,172.4848,971.4767445,0,1,0,1
1,25,12.70422,0,159.9642,5328.076501,0,1,0,1
0,70,9.920573,0,147.4421,630.454611,0,0,1,0
2,73,12.74847,1,232.6228,5676.244141,0,0,1,0
4,84,7.072618,1,162.4526,5319.773541,0,0,1,0
3,45,15.42891992,0,232.62403,1607.735971,0,1,0,0
0,74,10.92195,0,182.4676,5360.396176,0,0,1,0
1,33,6.281176,0,214.9663,3069.097767,0,0,1,0
2,79,13.50438,0,194.9525,6564.863417,0,0,0,0
1,58,11.02008,0,152.4742,1705.874036,1,0,0,0
0,57,7.550902576,1,184.961033,906.2735981,0,0,0,0
0,65,11.46299,0,147.4713,443.3624779,0,0,0,1
2,27,9.789614,0,204.9634,4853.919295,1,0,1,0
0,55,6.601125,0,92.45514,1844.526573,1,0,0,0
1,47,6.259396187,1,119.989722,786.3429747,0,0,0,1
1,41,9.290332689,1,172.455519,500.7187258,0,0,1,0
2,77,12.62813,0,159.983,5364.283551,0,0,1,0
0,44,13.91858,0,139.965,3068.956506,0,0,0,0
3,54,11.79632,1,107.4806,862.6906733,0,0,0,1
2,85,14.95030399,0,275.119794,1124.637958,0,1,1,0
2,70,11.74644,0,192.4404,553.0231321,0,1,1,0
4,18,9.367555,0,169.9447,1169.714886,0,0,1,0
7,18,13.72489,0,152.4742,6149.726033,0,0,0,0
1,42,8.031817,1,139.9568,5748.620529,1,0,1,0
3,62,11.71658,0,207.6094,5104.889837,1,0,1,0
1,23,9.617616,1,162.4833,1586.632329,0,0,0,0
0,21,6.244054,0,137.4698,911.2594992,0,1,0,0
4,31,7.750073,0,194.9525,6768.49967,0,0,0,0
0,38,7.716619,0,159.965,514.9287886,0,0,1,0
2,70,9.411397,0,104.9629,295.3935883,0,0,0,1
0,20,9.908849616,0,222.61428,1821.82345,0,1,0,0
7,18,7.731174,0,230.1051,1413.736327,0,0,1,0
3,35,8.759585,0,230.1051,4024.612201,1,0,1,0
0,27,9.663191,0,92.45514,5443.98404,0,0,0,0
2,73,9.335603,0,117.472,468.5975061,0,0,0,1
1,63,4.615568,0,192.4885,4218.975069,0,0,1,0
1,77,7.291285,0,159.9794,4486.582949,0,0,0,0
2,45,14.18102134,0,182.490006,762.3743815,0,0,0,1
4,81,12.19296315,0,242.628057,1047.361909,0,1,1,0
4,80,10.0934549,0,112.484375,470.682278,0,0,0,1
4,75,9.481086,1,232.6228,5011.057255,0,0,1,0
0,86,15.35399,0,184.967,601.2192303,1,0,1,0
4,82,15.27146446,0,139.981577,1939.811149,0,0,0,1
0,66,11.05579,0,117.4858,5746.58453,1,0,0,1
1,88,9.525285,0,124.9607,6112.379667,0,1,0,0
0,45,15.54947,0,217.4725,5099.333841,0,0,1,0
0,53,13.70512,0,114.9976,979.002185,0,0,0,1
3,37,10.85287,0,182.4538,1317.388693,0,0,1,0
4,25,12.69180844,1,142.452604,2743.734408,0,0,0,0
7,71,10.40927,0,262.6106,2120.151113,0,1,1,0
0,84,10.47784,0,147.5031,3296.618156,0,0,0,1
0,38,11.34716,1,127.4783,1627.688937,0,0,0,0
0,36,5.676999,0,232.6415,1161.766944,0,1,1,0
5,45,11.74755,1,127.482,4862.205431,0,0,1,0
1,38,12.83511,0,252.6378,1225.184798,0,1,1,0
1,68,5.625045,1,195.0062,4947.739322,0,1,1,0
9,47,13.87639,1,184.9785,6391.573253,0,0,1,0
0,87,13.69110294,0,127.473844,1826.678884,1,0,0,0
0,52,5.193206,0,179.9656,5674.466677,0,0,1,0
7,36,7.275899757,0,240.114868,1885.438773,0,0,1,0
2,78,6.33742,0,230.1051,1599.616413,0,0,1,0
1,34,12.017333,1,212.655686,1101.650764,0,0,0,1
3,26,5.050186,0,159.9794,1403.290023,0,0,0,0
1,39,4.876124,1,184.9785,3747.78242,0,0,1,0
4,85,4.452995,1,255.1417,4048.983361,0,1,1,0
4,22,11.43714,0,149.9776,3836.081698,0,1,0,1
0,24,7.956304,0,124.9607,4741.134235,0,0,0,0
4,23,8.965640601,0,194.969934,1956.469091,0,1,1,0
2,66,15.95744,1,212.6228,6845.831296,0,1,0,0
1,77,9.767668044,0,92.455141,774.2937069,0,0,0,0
1,89,5.341231,0,265.147,4629.932238,1,0,1,0
1,23,13.16243,1,172.4624,1187.710162,0,0,1,0
4,24,3.929938,1,174.9581,1564.304827,0,1,0,0
0,38,12.236238,1,184.978458,669.0040793,1,0,1,0
3,66,12.13544,0,162.447,6055.708509,0,0,0,0
4,47,7.739197,0,179.9794,5910.417848,0,0,1,0
2,71,9.741346714,0,240.114868,774.8506663,0,0,1,0
6,84,9.020394,0,112.4551,4930.400921,0,0,1,0
6,49,12.9317,1,140.0013,2373.467756,0,0,0,0
2,37,9.445157,0,255.1372,5401.877883,0,0,1,0
10,19,10.09307939,0,129.994975,2653.32821,0,0,0,1
2,74,13.07187,1,172.4848,2352.994051,0,0,0,1
1,52,10.32391,0,159.9512,1114.676099,0,0,1,0
3,82,13.50203,0,105.011,5616.475997,0,1,0,1
0,33,6.32828,0,172.4705,6073.965344,0,1,0,0
4,39,10.21531,0,172.4871,2082.760575,0,0,0,1
2,65,11.69747,0,172.4705,6520.292051,0,0,0,0
1,63,9.497106973,1,149.959755,1707.641161,0,1,1,0
1,55,15.24882,0,204.9797,6093.707012,0,0,1,0
0,65,7.637291768,0,200.118516,2441.022927,0,0,0,0
1,72,7.972937227,0,147.473844,1530.10769,0,1,1,0
1,18,10.76073,1,162.4833,4826.758437,0,1,0,0
6,74,13.29232,0,129.995,822.6124438,1,0,0,1
2,65,5.201543,0,137.4836,5861.996544,0,0,0,0
4,77,13.18074,0,149.9845,6101.954062,0,0,0,1
0,26,12.29165611,0,117.439154,1775.838153,0,0,0,0
2,26,7.484153,0,159.9349,2150.01852,0,1,1,0
0,31,13.09411393,0,157.483594,908.0504522,0,1,1,0
1,86,7.630385,0,200.1323,1409.589822,0,0,0,0
