customer_id,children,married,gender,churn,contract,internet_service,phone,multiple_phone,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,tenure,monthly_charge,source
K409198,No,No,Male,No,One year,Fiber Optic,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Automatic,7.0,172.46,WGU
S120509,Yes,Yes,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Automatic,1.0,242.63,WGU
K191035,Yes,No,Female,No,Two year,DSL,Yes,Yes,No,No,No,No,No,Yes,Yes,Automatic,16.0,159.95,WGU
D90850,Yes,Yes,Male,No,Two year,DSL,Yes,No,Yes,No,No,No,Yes,No,Yes,Mailed Check,17.0,119.96,WGU
K662701,No,No,Male,Yes,Month-to-month,Fiber Optic,No,No,No,No,No,Yes,Yes,No,No,Mailed Check,2.0,149.95,WGU
W303516,Yes,No,Female,No,One year,None,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Electronic Check,7.0,185.01,WGU
U335188,No,No,Male,Yes,Month-to-month,DSL,Yes,No,No,No,No,Yes,Yes,Yes,No,Electronic Check,13.0,200.12,WGU
V538685,Yes,Yes,Female,Yes,Month-to-month,DSL,No,No,No,Yes,No,No,No,No,Yes,Mailed Check,4.0,114.95,WGU
M716771,Yes,No,Nonbinary,No,Month-to-month,DSL,Yes,No,Yes,Yes,No,No,No,No,Yes,Automatic,8.0,117.47,WGU
I676080,Yes,Yes,Female,No,Two year,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Mailed Check,3.0,162.48,WGU
J980369,Yes,No,Female,No,Month-to-month,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Mailed Check,19.0,174.96,WGU
E243720,Yes,Yes,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,No,Electronic Check,11.0,149.96,WGU
F139569,No,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,Yes,No,No,Automatic,13.0,137.44,WGU
X44200,Yes,No,Female,No,Two year,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Automatic,17.0,184.97,WGU
H68068,Yes,No,Male,Yes,Month-to-month,DSL,No,Yes,No,Yes,No,Yes,No,No,Yes,Automatic,10.0,159.97,WGU
A403906,Yes,No,Male,Yes,One year,None,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Electronic Check,14.0,177.65,WGU
V847470,No,Yes,Female,Yes,Month-to-month,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Automatic,16.0,194.97,WGU
F721878,Yes,No,Male,Yes,Two year,None,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,2.0,202.68,WGU
F487435,Yes,No,Female,No,Two year,None,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Automatic,17.0,152.49,WGU
B561228,Yes,No,Male,Yes,Month-to-month,DSL,Yes,Yes,No,No,No,No,Yes,No,Yes,Automatic,13.0,149.94,WGU
X325271,Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Automatic,20.0,184.98,WGU
I282896,Yes,No,Male,No,Two year,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No,No,Automatic,2.0,127.5,WGU
I367206,Yes,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,7.0,124.96,WGU
N37182,Yes,No,Male,No,One year,Fiber Optic,Yes,No,No,No,No,Yes,Yes,No,Yes,Electronic Check,9.0,149.95,WGU
U644626,Yes,No,Female,Yes,Month-to-month,None,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Automatic,6.0,162.51,WGU
A766555,Yes,No,Male,Yes,Month-to-month,DSL,Yes,No,No,No,No,No,No,No,No,Automatic,4.0,92.46,WGU
V54032,Yes,Yes,Female,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Mailed Check,10.0,222.65,WGU
Z301326,No,No,Female,Yes,Month-to-month,None,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Electronic Check,1.0,139.98,WGU
J887250,Yes,No,Female,Yes,One year,DSL,Yes,No,No,No,Yes,No,Yes,Yes,No,Automatic,1.0,200.13,WGU
Z686376,Yes,No,Male,Yes,Two year,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Automatic,5.0,257.65,WGU
L357432,Yes,Yes,Male,No,Two year,Fiber Optic,No,No,No,Yes,No,No,Yes,Yes,Yes,Automatic,11.0,230.11,WGU
V899967,No,No,Female,No,Two year,None,Yes,Yes,No,Yes,No,Yes,No,No,No,Electronic Check,4.0,147.49,WGU
G571225,Yes,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Electronic Check,5.0,230.11,WGU
S381541,Yes,No,Male,Yes,Month-to-month,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Electronic Check,21.0,174.96,WGU
R195593,Yes,No,Male,Yes,One year,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,3.0,267.66,WGU
I327596,Yes,No,Male,Yes,Month-to-month,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Mailed Check,5.0,162.48,WGU
U790894,Yes,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Automatic,3.0,229.99,WGU
O739489,Yes,No,Female,No,One year,DSL,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Electronic Check,7.0,140.0,WGU
I958127,Yes,No,Female,No,Two year,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Automatic,10.0,184.96,WGU
Z666770,Yes,No,Male,No,Two year,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,No,Electronic Check,16.0,147.47,WGU
X711438,Yes,No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Mailed Check,9.0,172.46,WGU
U369541,Yes,Yes,Male,No,Month-to-month,DSL,Yes,No,Yes,No,No,Yes,No,No,Yes,Electronic Check,3.0,107.48,WGU
S896111,Yes,No,Male,Yes,Two year,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Automatic,4.0,255.14,WGU
K227200,Yes,No,Male,No,Two year,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Electronic Check,19.0,192.46,WGU
E818912,No,No,Female,Yes,Two year,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Automatic,9.0,242.63,WGU
Y490834,Yes,No,Female,Yes,Month-to-month,None,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Electronic Check,10.0,245.17,WGU
B609739,Yes,No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Automatic,22.0,184.96,WGU
E687638,Yes,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Automatic,9.0,195.01,WGU
E492264,Yes,No,Female,No,Two year,None,Yes,No,No,No,No,No,Yes,No,No,Automatic,8.0,104.96,WGU
W255321,Yes,Yes,Female,No,Month-to-month,None,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,12.0,92.49,WGU
S72442,Yes,No,Female,Yes,Month-to-month,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Automatic,3.0,184.98,WGU
O845020,Yes,No,Female,Yes,Month-to-month,None,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Automatic,7.0,187.66,WGU
D805597,Yes,No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,Yes,Electronic Check,5.0,149.96,WGU
R189303,No,No,Female,Yes,One year,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No,Yes,Automatic,2.0,169.94,WGU
N142854,No,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Mailed Check,12.0,160.0,WGU
F522569,Yes,No,Female,No,One year,DSL,Yes,No,No,No,Yes,No,Yes,No,No,Mailed Check,14.0,129.96,WGU
L384793,Yes,Yes,Male,Yes,Month-to-month,DSL,Yes,No,No,Yes,No,No,No,No,Yes,Electronic Check,10.0,114.95,WGU
C101444,Yes,No,Female,No,Two year,None,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Mailed Check,7.0,142.52,WGU
E987442,Yes,No,Male,Yes,Two year,None,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Automatic,16.0,220.15,WGU
L54611,No,No,Female,No,Two year,Fiber Optic,Yes,No,No,No,Yes,No,No,No,Yes,Electronic Check,7.0,124.98,WGU
L85018,Yes,No,Female,No,One year,DSL,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Mailed Check,3.0,164.96,WGU
